Path to db: D:\Programm\main_util_c\main_util_c\lichess_db_standard_rated_2013-05(1).pgn
Name/nick-name of player (suspect): all_for_science
Path to engine: D:\Programm\stockfish_15_win_x64_popcnt\stockfish_15_x64_popcnt.exe
Engine: Count of CPU threads: 4
Engine: Count of lines: 4
Engine: Hash size: 3072 MB
Engine: Move time: 2 sec
Search (filter): Type of games: Blitz
Search (filter): Min rating: 1700
Search(filter): Max rating:  1900
Search(filter): Max count of moves: 150
Search(filter): Max count of games: 80

{6_p, X_n, X_b, X_r, 1_q}: accuracy = 42.938313, count = 154
{6_p, X_n, X_b, X_r, X_q}: accuracy = 49.330837, count = 467
{7_p, 0_n, 0_b, 0_r, 1_q}: accuracy = 48.416664, count = 150
{7_p, 0_n, 0_b, 0_r, X_q}: accuracy = 48.416664, count = 150
{7_p, 0_n, 0_b, 2_r, 1_q}: accuracy = 47.808441, count = 154
{7_p, 0_n, 0_b, 2_r, X_q}: accuracy = 47.808441, count = 154
{7_p, 0_n, 0_b, X_r, 1_q}: accuracy = 48.108555, count = 304
{7_p, 0_n, 0_b, X_r, X_q}: accuracy = 48.108555, count = 304
{7_p, 0_n, 1_b, 0_r, 0_q}: accuracy = 54.194080, count = 152
{7_p, 0_n, 1_b, 0_r, X_q}: accuracy = 54.194080, count = 152
{7_p, 0_n, 1_b, X_r, 0_q}: accuracy = 54.194080, count = 152
{7_p, 0_n, 1_b, X_r, X_q}: accuracy = 54.194080, count = 152
{7_p, 0_n, X_b, 0_r, 0_q}: accuracy = 54.194080, count = 152
{7_p, 0_n, X_b, 0_r, 1_q}: accuracy = 48.416664, count = 150
{7_p, 0_n, X_b, 0_r, X_q}: accuracy = 51.324505, count = 302
{7_p, 0_n, X_b, 2_r, 1_q}: accuracy = 47.808441, count = 154
{7_p, 0_n, X_b, 2_r, X_q}: accuracy = 47.808441, count = 154
{7_p, 0_n, X_b, X_r, 0_q}: accuracy = 54.194080, count = 152
{7_p, 0_n, X_b, X_r, 1_q}: accuracy = 48.108555, count = 304
{7_p, 0_n, X_b, X_r, X_q}: accuracy = 50.137062, count = 456
{7_p, 1_n, 1_b, 4_r, 0_q}: accuracy = 50.083332, count = 150
{7_p, 1_n, 1_b, 4_r, X_q}: accuracy = 50.083332, count = 150
{7_p, 1_n, 1_b, X_r, 0_q}: accuracy = 50.083332, count = 150
{7_p, 1_n, 1_b, X_r, X_q}: accuracy = 50.083332, count = 150
{7_p, 1_n, X_b, 4_r, 0_q}: accuracy = 50.083332, count = 150
{7_p, 1_n, X_b, 4_r, X_q}: accuracy = 50.083332, count = 150
{7_p, 1_n, X_b, X_r, 0_q}: accuracy = 50.083332, count = 150
{7_p, 1_n, X_b, X_r, X_q}: accuracy = 50.083332, count = 150
{7_p, X_n, 0_b, 0_r, 1_q}: accuracy = 48.416664, count = 150
{7_p, X_n, 0_b, 0_r, X_q}: accuracy = 48.416664, count = 150
{7_p, X_n, 0_b, 2_r, 1_q}: accuracy = 47.808441, count = 154
{7_p, X_n, 0_b, 2_r, X_q}: accuracy = 47.808441, count = 154
{7_p, X_n, 0_b, X_r, 1_q}: accuracy = 48.108555, count = 304
{7_p, X_n, 0_b, X_r, X_q}: accuracy = 48.108555, count = 304
{7_p, X_n, 1_b, 0_r, 0_q}: accuracy = 54.194080, count = 152
{7_p, X_n, 1_b, 0_r, X_q}: accuracy = 54.194080, count = 152
{7_p, X_n, 1_b, 4_r, 0_q}: accuracy = 50.083332, count = 150
{7_p, X_n, 1_b, 4_r, X_q}: accuracy = 50.083332, count = 150
{7_p, X_n, 1_b, X_r, 0_q}: accuracy = 52.152317, count = 302
{7_p, X_n, 1_b, X_r, X_q}: accuracy = 52.152317, count = 302
{7_p, X_n, X_b, 0_r, 0_q}: accuracy = 54.194080, count = 152
{7_p, X_n, X_b, 0_r, 1_q}: accuracy = 48.416664, count = 150
{7_p, X_n, X_b, 0_r, X_q}: accuracy = 51.324505, count = 302
{7_p, X_n, X_b, 2_r, 1_q}: accuracy = 47.808441, count = 154
{7_p, X_n, X_b, 2_r, X_q}: accuracy = 47.808441, count = 154
{7_p, X_n, X_b, 4_r, 0_q}: accuracy = 50.083332, count = 150
{7_p, X_n, X_b, 4_r, X_q}: accuracy = 50.083332, count = 150
{7_p, X_n, X_b, X_r, 0_q}: accuracy = 52.152317, count = 302
{7_p, X_n, X_b, X_r, 1_q}: accuracy = 48.108555, count = 304
{7_p, X_n, X_b, X_r, X_q}: accuracy = 50.123764, count = 606
{8_p, 0_n, 0_b, 2_r, 1_q}: accuracy = 53.371708, count = 152
{8_p, 0_n, 0_b, 2_r, X_q}: accuracy = 53.371708, count = 152
{8_p, 0_n, 0_b, 3_r, 2_q}: accuracy = 48.250000, count = 150
{8_p, 0_n, 0_b, 3_r, X_q}: accuracy = 48.250000, count = 150
{8_p, 0_n, 0_b, 4_r, 0_q}: accuracy = 51.388889, count = 162
{8_p, 0_n, 0_b, 4_r, X_q}: accuracy = 51.388889, count = 162
{8_p, 0_n, 0_b, X_r, 0_q}: accuracy = 51.388889, count = 162
{8_p, 0_n, 0_b, X_r, 1_q}: accuracy = 53.371708, count = 152
{8_p, 0_n, 0_b, X_r, 2_q}: accuracy = 48.250000, count = 150
{8_p, 0_n, 0_b, X_r, X_q}: accuracy = 51.023708, count = 464
{8_p, 0_n, 1_b, 0_r, 0_q}: accuracy = 52.614380, count = 153
{8_p, 0_n, 1_b, 0_r, X_q}: accuracy = 52.614380, count = 153
{8_p, 0_n, 1_b, X_r, 0_q}: accuracy = 52.614380, count = 153
{8_p, 0_n, 1_b, X_r, X_q}: accuracy = 52.614380, count = 153
{8_p, 0_n, 2_b, 4_r, 1_q}: accuracy = 52.631580, count = 57
{8_p, 0_n, 2_b, 4_r, X_q}: accuracy = 52.631580, count = 57
{8_p, 0_n, 2_b, X_r, 1_q}: accuracy = 52.631580, count = 57
{8_p, 0_n, 2_b, X_r, X_q}: accuracy = 52.631580, count = 57
{8_p, 0_n, X_b, 0_r, 0_q}: accuracy = 52.614380, count = 153
{8_p, 0_n, X_b, 0_r, X_q}: accuracy = 52.614380, count = 153
{8_p, 0_n, X_b, 2_r, 1_q}: accuracy = 53.371708, count = 152
{8_p, 0_n, X_b, 2_r, X_q}: accuracy = 53.371708, count = 152
{8_p, 0_n, X_b, 3_r, 2_q}: accuracy = 48.250000, count = 150
{8_p, 0_n, X_b, 3_r, X_q}: accuracy = 48.250000, count = 150
{8_p, 0_n, X_b, 4_r, 0_q}: accuracy = 51.388889, count = 162
{8_p, 0_n, X_b, 4_r, 1_q}: accuracy = 52.631580, count = 57
{8_p, 0_n, X_b, 4_r, X_q}: accuracy = 51.712330, count = 219
{8_p, 0_n, X_b, X_r, 0_q}: accuracy = 51.984127, count = 315
{8_p, 0_n, X_b, X_r, 1_q}: accuracy = 53.169857, count = 209
{8_p, 0_n, X_b, X_r, 2_q}: accuracy = 48.250000, count = 150
{8_p, 0_n, X_b, X_r, X_q}: accuracy = 51.520771, count = 674
{8_p, 1_n, 1_b, 4_r, 0_q}: accuracy = 52.678574, count = 154
{8_p, 1_n, 1_b, 4_r, X_q}: accuracy = 52.678574, count = 154
{8_p, 1_n, 1_b, X_r, 0_q}: accuracy = 52.678574, count = 154
{8_p, 1_n, 1_b, X_r, X_q}: accuracy = 52.678574, count = 154
{8_p, 1_n, X_b, 4_r, 0_q}: accuracy = 52.678574, count = 154
{8_p, 1_n, X_b, 4_r, X_q}: accuracy = 52.678574, count = 154
{8_p, 1_n, X_b, X_r, 0_q}: accuracy = 52.678574, count = 154
{8_p, 1_n, X_b, X_r, X_q}: accuracy = 52.678574, count = 154
{8_p, 2_n, 0_b, 0_r, 0_q}: accuracy = 60.500000, count = 150
{8_p, 2_n, 0_b, 0_r, X_q}: accuracy = 60.500000, count = 150
{8_p, 2_n, 0_b, 4_r, 2_q}: accuracy = 47.903225, count = 155
{8_p, 2_n, 0_b, 4_r, X_q}: accuracy = 47.903225, count = 155
{8_p, 2_n, 0_b, X_r, 0_q}: accuracy = 60.500000, count = 150
{8_p, 2_n, 0_b, X_r, 2_q}: accuracy = 47.903225, count = 155
{8_p, 2_n, 0_b, X_r, X_q}: accuracy = 54.098362, count = 305
{8_p, 2_n, X_b, 0_r, 0_q}: accuracy = 60.500000, count = 150
{8_p, 2_n, X_b, 0_r, X_q}: accuracy = 60.500000, count = 150
{8_p, 2_n, X_b, 4_r, 2_q}: accuracy = 47.903225, count = 155
{8_p, 2_n, X_b, 4_r, X_q}: accuracy = 47.903225, count = 155
{8_p, 2_n, X_b, X_r, 0_q}: accuracy = 60.500000, count = 150
